election_id,candidate_id,candidate_name,affiliation_id,affiliation_party,overview
ct.congress.1794,DS0003,Samuel W. Dana,A01,Federalist,1001
ct.congress.1794,EW0001,William Edmond,A01,Federalist,939
ct.congress.1794,AJ0006,John Allen,A01,Federalist,684
ct.congress.1794,TJ0009,John Treadwell,A01,Federalist,628
ct.congress.1794,DD0000,David Daggett,A01,Federalist,600
ct.congress.1796,TU0002,Uriah Tracy,A01,Federalist,2494
ct.congress.1796,GR0000,Roger Griswold,A01,Federalist,2403
ct.congress.1796,CJ0025,Joshua Coit,A01,Federalist,2199
ct.congress.1796,SZ0000,Zephaniah Swift,A01,Federalist,2176
ct.congress.1796,SN0000,Nathaniel Smith,A01,Federalist,2153
ct.congress.1796,GC0000,Chauncey Goodrich,A01,Federalist,1763
ct.congress.1796,DS0003,Samuel W. Dana,A01,Federalist,1363
ct.congress.1796,DJ0006,James Davenport,A01,Federalist,1117
ct.congress.1796,DD0000,David Daggett,A01,Federalist,846
ct.congress.1796,AJ0006,John Allen,A01,Federalist,604
ct.congress.1796,EW0001,William Edmond,A01,Federalist,600
ct.congress.1796,TJ0009,Jonathan Treadwell,A01,Federalist,492
ct.congress.1796,GG0000,Gideon Granger,A01,Federalist,403
ct.congress.1798,AJ0006,John Allen,A01,Federalist,4956
ct.congress.1798,GC0000,Chauncey Goodrich,A01,Federalist,4628
ct.congress.1798,DS0003,Samuel W. Dana,A01,Federalist,4582
ct.congress.1798,EW0001,William Edmond,A01,Federalist,4388
ct.congress.1798,GR0000,Roger Griswold,A01,Federalist,4279
ct.congress.1798,BJ0019,Jonathan Brace,A01,Federalist,3116
ct.congress.1798,DJ0022,John Davenport,A01,Federalist,2576
ct.congress.1798,GE0001,Elizur Goodrich,A01,Federalist,1521
ct.congress.1798,PT0001,Timothy Pitkin,A01,Federalist,1376
ct.congress.1798,TB0015,Benjamin Talmadge,A01,Federalist,1285
ct.congress.1798,SJ0013,John C. Smith,A01,Federalist,1281
ct.congress.1798,PE0001,Elias Perkins,A01,Federalist,1196
ct.congress.1798,GC0005,Calvin Goddard,A01,Federalist,832
ct.congress.1798,BS0001,Simeon Baldwin,A01,Federalist,588
ct.congress.1798,TJ0009,Jonathan Treadwell,A01,Federalist,284
ct.congress.1798,SN0000,Nathaniel Smith,A01,Federalist,106
ct.congress.1798,HS0006,Stephen T. Hosmer,A01,Federalist,97
ct.congress.1800,DS0003,Samuel W. Dana,A01,Federalist,6273
ct.congress.1800,GR0000,Roger Griswold,A01,Federalist,6155
ct.congress.1800,SJ0013,John C. Smith,A01,Federalist,6080
ct.congress.1800,EW0001,William Edmond,A01,Federalist,5880
ct.congress.1800,GE0001,Elizur Goodrich,A01,Federalist,5779
ct.congress.1800,DJ0022,"John Davenport, Jr.",A01,Federalist,5250
ct.congress.1800,PE0001,Elias Perkins,A01,Federalist,4850
ct.congress.1800,HW0015,William Hart,A03,Democratic-Republican,3250
ct.congress.1800,GG0000,"Gideon Granger, Jr.",A03,Democratic-Republican,3012
ct.congress.1800,GS0003,Sylvester Gilbert,A03,Democratic-Republican,2921
ct.congress.1800,GC0005,Calvin Goddard,A01,Federalist,2172
ct.congress.1800,TB0015,Benjamin Talmadge,A01,Federalist,1541
ct.congress.1800,BS0001,Simeon Baldwin,A01,Federalist,1272
ct.congress.1800,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,937
ct.congress.1800,MW0006,William Moseley,A01,Federalist,555
ct.congress.1800,CE0020,Epaphroditus Champion,A01,Federalist,425
ct.congress.1800,GC0000,Chauncey Goodrich,A01,Federalist,235
ct.congress.1800,BJ0019,Jonathan Brace,A01,Federalist,58
ct.congress.1802,SJ0013,John C. Smith,A01,Federalist,8743
ct.congress.1802,TB0015,Benjamin Talmadge,A01,Federalist,7370
ct.congress.1802,DS0003,Samuel W. Dana,A01,Federalist,7232
ct.congress.1802,PE0001,Elias Perkins,A01,Federalist,6997
ct.congress.1802,GC0005,Calvin Goddard,A01,Federalist,6942
ct.congress.1802,GR0000,Roger Griswold,A01,Federalist,6601
ct.congress.1802,DJ0022,"John Davenport, Jr.",A01,Federalist,5390
ct.congress.1802,BS0001,Simeon Baldwin,A01,Federalist,4033
ct.congress.1802,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,806
ct.congress.1802,HW0015,William Hart,A01,Federalist,319
ct.congress.1802,MJ0022,Jonathan O. Mosely,A01,Federalist,257
ct.congress.1802,CE0020,Epaphroditus Champion,A01,Federalist,225
ct.congress.1802,RN0001,Nathaniel Rosseter,A01,Federalist,158
ct.congress.1802,GS0003,Sylvester Gilbert,A01,Federalist,150
ct.congress.1802,SL0001,Lewis B. Sturges,A01,Federalist,126
ct.congress.1802,CJ0040,John Caldwell,A01,Federalist,99
ct.congress.1802,SS0000,Samuel B. Sherwood,A01,Federalist,93
ct.congress.1802,DT0000,Theodore Dwight,A01,Federalist,64
ct.congress.1804,GC0005,Calvin Goddard,A01,Federalist,9956
ct.congress.1804,DS0003,Samuel W. Dana,A01,Federalist,9787
ct.congress.1804,DJ0022,"Jonathan Davenport, Jr.",A01,Federalist,9484
ct.congress.1804,GR0000,Roger Griswold,A01,Federalist,9465
ct.congress.1804,TB0015,Benjamin Talmadge,A01,Federalist,8771
ct.congress.1804,SJ0013,John C. Smith,A01,Federalist,7505
ct.congress.1804,MJ0022,Jonathan Moseley,A01,Federalist,7126
ct.congress.1804,PT0001,Timothy Pitkin,A01,Federalist,2069
ct.congress.1804,SL0001,Lewis B. Sturges,A01,Federalist,454
ct.congress.1804,DT0000,Theodore Dwight,A01,Federalist,357
ct.congress.1804,CE0020,Epaphroditus Champion,A01,Federalist,272
ct.congress.1804,RN0001,Nathaniel Rossiter,A01,Federalist,186
ct.congress.1804,SS0000,Samuel B. Sherwood,A01,Federalist,144
ct.congress.1804,BS0014,Sylvanus Backus,A01,Federalist,139
ct.congress.1804,GS0003,Sylvester Gilbert,A01,Federalist,79
ct.congress.1804,HE0008,Ebenezer Huntington,A01,Federalist,52
ct.congress.1804,CJ0040,John Caldwell,A01,Federalist,43
ct.congress.1804,BS0001,Simeon Baldwin,A01,Federalist,16
ct.congress.1806,MJ0022,Jonathan O. Moseley,NA,Federalist,NA
ct.congress.1806,SL0001,Lewis B. Sturges,NA,Federalist,NA
ct.congress.1806,CE0020,Epaphroditus Champion,NA,Federalist,NA
ct.congress.1806,PT0001,"Timothy Pitkin, Jr.",NA,Federalist,NA
ct.congress.1806,DS0003,Samuel W. Dana,NA,Federalist,NA
ct.congress.1806,DJ0022,John Davenport,NA,Federalist,NA
ct.congress.1806,TB0015,Benjamin Tallmadge,NA,Federalist,NA
ct.congress.1808,SL0001,Lewis B. Sturges,NA,Federalist,NA
ct.congress.1808,CE0020,Epaphroditus Champion,NA,Federalist,NA
ct.congress.1808,MJ0022,Jonathan O. Moseley,NA,Federalist,NA
ct.congress.1808,DS0003,Samuel W. Dana,NA,Federalist,NA
ct.congress.1808,TB0015,Benjamin Tallmadge,NA,Federalist,NA
ct.congress.1808,DJ0022,John Davenport,NA,Federalist,NA
ct.congress.1808,PT0001,"Timothy Pitkin, Jr.",NA,Federalist,NA
ct.congress.1810,SL0001,Lewis B. Sturges,A01,Federalist,4744
ct.congress.1810,MJ0022,Jonathan O. Mosely,A01,Federalist,4447
ct.congress.1810,TB0015,Benjamin Tallmadge,A01,Federalist,4396
ct.congress.1810,CE0020,Epaphroditus Champion,A01,Federalist,4337
ct.congress.1810,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,3898
ct.congress.1810,LL0001,Lyman Law,A01,Federalist,3530
ct.congress.1810,DJ0022,"John Davenport, Jr.",A01,Federalist,2689
ct.congress.1810,HE0008,Ebenezer Huntington,A01,Federalist,1244
ct.congress.1810,SS0000,Samuel B. Sherwood,A01,Federalist,1017
ct.congress.1810,SN0016,Nathan Smith,A01,Federalist,622
ct.congress.1810,TN0001,Nathaniel Terry,A01,Federalist,370
ct.congress.1810,BS0014,Sylvanus Backus,A01,Federalist,316
ct.congress.1810,WN0000,"Noah Webster, Jr.",A01,Federalist,143
ct.congress.1810,GS0003,Sylvester Gilbert,A01,Federalist,102
ct.congress.1810,CJ0040,John Caldwell,A01,Federalist,99
ct.congress.1810,HU0000,Uriel Holmes,A01,Federalist,78
ct.congress.1810,BA0002,"Asa Bacon, Jr.",A01,Federalist,78
ct.congress.1812,TB0015,Benjamin Talmadge,A01,Federalist,10631
ct.congress.1812,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,10341
ct.congress.1812,DJ0022,"John Davenport, Jr.",A01,Federalist,10162
ct.congress.1812,SL0001,Lewis B. Sturges,A01,Federalist,10076
ct.congress.1812,MJ0022,Jonathan O. Mosely,A01,Federalist,9872
ct.congress.1812,CE0020,Epaphroditus Champion,A01,Federalist,9572
ct.congress.1812,LL0001,Lyman Law,A01,Federalist,9476
ct.congress.1812,SN0016,Nathan Smith,A01,Federalist,751
ct.congress.1812,BS0014,Sylvanus Backus,A01,Federalist,422
ct.congress.1812,SS0000,Samuel B. Sherwood,A01,Federalist,402
ct.congress.1812,TN0001,Nathaniel Terry,A01,Federalist,402
ct.congress.1812,GJ0008,James Gould,A01,Federalist,384
ct.congress.1812,HE0008,Ebenezer Huntingdon,A01,Federalist,235
ct.congress.1812,BA0002,"Asa Bacon, Jr.",A01,Federalist,59
ct.congress.1812,CJ0040,John Caldwell,A01,Federalist,48
ct.congress.1812,WN0000,"Noah Webster, Jr.",A01,Federalist,40
ct.congress.1812,HU0000,Uriel Holmes,A01,Federalist,33
ct.congress.1812,GS0003,Sylvester Gilbert,A01,Federalist,31
ct.congress.1814,MJ0022,Jonathan O. Mosely,A01,Federalist,NA
ct.congress.1814,SL0001,Lewis B. Sturges,A01,Federalist,NA
ct.congress.1814,LL0001,Lyman Law,A01,Federalist,NA
ct.congress.1814,DJ0022,"John Davenport, Jr.",A01,Federalist,NA
ct.congress.1814,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,NA
ct.congress.1814,CE0020,Epaphroditus Champion,A01,Federalist,NA
ct.congress.1814,TB0015,Benjamin Tallmadge,A01,Federalist,NA
ct.congress.1814,SS0000,Samuel B. Sherwood,A01,Federalist,NA
ct.congress.1814,BS0014,Sylvanus Backus,A01,Federalist,NA
ct.congress.1814,BA0002,"Asa Bacon, Jr.",A01,Federalist,NA
ct.congress.1814,TN0001,Nathaniel Terry,A01,Federalist,NA
ct.congress.1816,BS0014,Sylvanus Backus,A01,Federalist,9591
ct.congress.1816,SS0000,Samuel B. Sherwood,A01,Federalist,6301
ct.congress.1816,DC0000,Charles Dennison,A01,Federalist,6218
ct.congress.1816,PT0001,"Timothy Pitkin, Jr.",A01,Federalist,6189
ct.congress.1816,WT0003,Thomas S. Williams,A01,Federalist,4952
ct.congress.1816,MJ0022,Jonathan O. Moseley,A01,Federalist,4854
ct.congress.1816,HU0000,"Uriel Holmes, Jr.",A01,Federalist,4667
ct.congress.1816,HE0008,Ebenezer Huntingdon,A01,Federalist,4647
ct.congress.1816,LL0001,Lyman Law,A01,Federalist,4453
ct.congress.1816,SL0001,Lewis B. Sturges,A01,Federalist,4375
ct.congress.1816,CE0020,Epaphroditus Champion,A01,Federalist,3913
ct.congress.1816,BA0002,"Asa Bacon, Jr.",A01,Federalist,3784
ct.congress.1816,TN0001,Nathaniel Terry,A01,Federalist,3078
ct.congress.1816,GS0003,Sylvester Gilbert,A01,Federalist,2974
ct.congress.1816,GJ0008,James Gould,A01,Federalist,67
ct.congress.1816,DJ0022,"John Davenport, Jr.",A01,Federalist,40
ct.congress.1816,SN0016,Nathan Smith,A01,Federalist,24
ct.congress.1816,TB0015,Benjamin Talmadge,A01,Federalist,14
ct.congress.1818,SJ0029,James Stevens,A03,Democratic-Republican,4700
ct.congress.1818,MJ0022,Jonathan Moseley,A03,Democratic-Republican,4481
ct.congress.1818,TG0001,Gideon Tomlinson,A03,Democratic-Republican,4337
ct.congress.1818,PE0012,Elisha Phelps,A03,Democratic-Republican,3957
ct.congress.1818,RJ0004,John Russ,A03,Democratic-Republican,3413
ct.congress.1818,EH0001,Henry W. Edwards,A03,Democratic-Republican,3359
ct.congress.1818,FS0000,Seth A. Foot,A03,Democratic-Republican,3303
ct.congress.1818,BD0003,David Bolles,A03,Democratic-Republican,2673
ct.congress.1818,IR0000,Ralph Ingersoll,A03,Democratic-Republican,2455
ct.congress.1818,BN0014,Noyes Barber,A03,Democratic-Republican,1918
ct.congress.1818,MC0000,Christopher Manwarring,A03,Democratic-Republican,1904
ct.congress.1818,MO0000,Orange Merwin,A03,Democratic-Republican,1842
ct.congress.1818,PJ0003,John T. Peters,A03,Democratic-Republican,1832
ct.congress.1818,WC0000,Calvin Willey,A03,Democratic-Republican,1759
ct.congress.1818,TE0007,Elisha Tracy,A03,Democratic-Republican,1509
ct.congress.1818,BS0029,Seth P. Beers,A03,Democratic-Republican,1375
ct.congress.1818,SA0013,Ansel Sterling,A03,Democratic-Republican,392
ct.congress.1818,MS0007,Simeon Miner,A03,Democratic-Republican,310
ct.uscongress.1821,TG0001,Gideon Tomlinson,NA,Democratic-Republican,6577
ct.uscongress.1821,BN0014,Noyes Barber,NA,Democratic-Republican,6344
ct.uscongress.1821,EH0001,Henry W. Edwards,NA,Democratic-Republican,6283
ct.uscongress.1821,SE0220,Ebenezer Stoddard,NA,Democratic-Republican,6240
ct.uscongress.1821,RJ0004,John Russ,NA,Democratic-Republican,6220
ct.uscongress.1821,SA0013,Ansel Sterling,NA,Democratic-Republican,6010
ct.uscongress.1821,BD0248,Daniel Burrows,NA,Democratic-Republican,4432
ct.uscongress.1821,WC0000,Calvin Willey,NA,Federalist,1902
ct.uscongress.1821,PT0001,Timothy Pitkin,NA,Federalist,464
ct.uscongress.1821,TE0007,Elisha Tracy,NA,Democratic-Republican,429
ct.uscongress.1821,LL0001,Lyman Law,NA,Federalist,351
ct.uscongress.1821,WT0003,Thomas S. Williams,NA,Federalist,293
ct.uscongress.1821,PE0012,Elisha Phelps,NA,Democratic-Republican,281
ct.uscongress.1821,SS0000,Samuel B. Sherwood,NA,Federalist,227
ct.uscongress.1821,SR0005,Roger M. Sherman,NA,Federalist,223
ct.uscongress.1821,MJ0022,Jonathan O. Moseley,NA,Federalist,173
ct.uscongress.1821,SJ0029,James Stevens,NA,Democratic-Republican,167
ct.uscongress.1821,SE0001,Elisha Sterling,NA,Federalist,164
ct.uscongress.1821,FS0001,Samuel A. Foote,NA,Democratic-Republican,158
ct.uscongress.1821,DC0000,Charles Denison,NA,Federalist,146
ct.uscongress.1821,BA0002,Asa Bacon,NA,Federalist,144
ct.uscongress.1821,SZ0000,Zephaniah Swift,NA,Federalist,121
ct.uscongress.1821,SS0021,Seth P. Staples,NA,Federalist,103
ct.uscongress.1821,BN0004,Noah B. Benedict,NA,Federalist,92
ct.uscongress.1821,GJ0012,Jacob B. Gurley,NA,Federalist,87
ct.uscongress.1821,SN0000,Nathaniel Smith,NA,Federalist,70
ct.uscongress.1821,HJ0022,John Hall,NA,Federalist,62
ct.uscongress.1821,HE0008,Ebenezer Huntington,NA,Federalist,57
ct.uscongress.1821,BS0029,Seth P. Beers,NA,Democratic-Republican,25
ct.uscongress.1821,DD0000,David Daggett,NA,Federalist,22
ct.uscongress.1821,WF0018,Frederick Wolcott,NA,Democratic-Republican,6
ct.uscongress.1821,IR0000,Ralph J. Ingersoll,NA,Democratic-Republican,5
ct.uscongress.1821,EH0032,Henry L. Ellsworth,NA,Federalist,4
ct.uscongress.1821,KA0001,Andrew Kingsbury,NA,Federalist,2
ct.uscongress.1821,SD0248,Daniel Stodard,NA,NA,2
ct.uscongress.1821,CJ0040,John Caldwell,NA,Federalist,1
ct.uscongress.1821,MO0017,Ogden Moseley,NA,NA,1
ct.uscongress.1821,PD0008,David Plant,NA,Democratic-Republican,1
ct.uscongress.1821,GS0139,Samuel W. Gilman,NA,NA,NA
ct.uscongress.1823,TG0001,Gideon Tomlinson,NA,Democratic-Republican,5304
ct.uscongress.1823,SE0220,Ebenezer Stoddard,NA,Democratic-Republican,5119
ct.uscongress.1823,SA0013,Ansel Sterling,NA,Democratic-Republican,5106
ct.uscongress.1823,WL0000,Lemuel Whitman,NA,Democratic-Republican,4243
ct.uscongress.1823,BN0014,Noyes Barber,NA,Democratic-Republican,4164
ct.uscongress.1823,FS0001,Samuel A. Foote,NA,Democratic-Republican,3622
ct.uscongress.1823,EH0001,Henry W. Edwards,NA,Democratic-Republican,1581
ct.uscongress.1823,BD0248,Daniel Burrows,NA,Democratic-Republican,1328
ct.uscongress.1823,RJ0004,John Russ,NA,Democratic-Republican,786
ct.uscongress.1823,LL0001,Lyman Law,NA,Federalist,170
ct.uscongress.1823,PT0001,Timothy Pitkin,NA,Federalist,146
ct.uscongress.1823,WT0003,Thomas S. Williams,NA,Federalist,120
ct.uscongress.1823,BA0002,Asa Bacon,NA,Federalist,82
ct.uscongress.1823,DC0082,Charles Dixon,NA,NA,75
ct.uscongress.1823,CJ1107,Joseph Caton,NA,NA,58
ct.uscongress.1823,SR0005,Roger M. Sherman,NA,Federalist,58
ct.uscongress.1823,WW0015,William T. Williams,NA,Federalist,56
ct.uscongress.1823,PE0012,Elisha Phelps,NA,Democratic-Republican,55
ct.uscongress.1823,IR0000,Ralph I. Ingersoll,NA,Democratic-Republican,45
ct.uscongress.1823,NA,unknown,NA,NA,41
ct.uscongress.1823,WA0004,Asa Willey,NA,Federalist,34
ct.uscongress.1823,EJ0007,Jonathan W. Edwards,NA,Federalist,33
ct.uscongress.1823,WS0250,Samuel Whitman,NA,NA,33
ct.uscongress.1823,SS0000,Samuel B. Sherwood,NA,Federalist,32
ct.uscongress.1823,BS0029,Seth P. Beers,NA,Democratic-Republican,30
ct.uscongress.1823,GC0005,Calvin Goddard,NA,Federalist,30
ct.uscongress.1823,BN0004,Noah B. Benedict,NA,Federalist,29
ct.uscongress.1823,GJ0624,James Gabil,NA,NA,28
ct.uscongress.1823,GN0055,Nathaniel Griffin,NA,Federalist,23
ct.uscongress.1823,LW0220,William Lord,NA,Federalist,22
ct.uscongress.1823,SS0021,Seth P. Staples,NA,Federalist,22
ct.uscongress.1823,SL0001,Lewis B. Sturges,NA,Federalist,22
ct.uscongress.1823,LE0108,Erastus Lyman,NA,Federalist,21
ct.uscongress.1823,WC0000,Calvin Willey,NA,Democratic-Republican,17
ct.uscongress.1823,SH0167,Henry Strong,NA,NA,16
ct.uscongress.1823,HE0203,Elisha Haley,NA,Democratic-Republican,15
ct.uscongress.1823,WS0011,Sylvester Wells,NA,NA,14
ct.uscongress.1823,CW0390,William P. Cleveland,NA,NA,13
ct.uscongress.1823,SZ0000,Zephaniah Swift,NA,Federalist,12
ct.uscongress.1823,HJ0022,John Hall,NA,Federalist,11
ct.uscongress.1823,BW0436,William F. Brainard,NA,NA,10
ct.uscongress.1823,SE0001,Elisha Sterling,NA,Federalist,10
ct.uscongress.1823,CE0020,Epaphroditus Champion,NA,Federalist,9
ct.uscongress.1823,SH0151,Henry Sterling,NA,NA,9
ct.uscongress.1823,HW0332,William Hungerford,NA,Federalist,7
ct.uscongress.1823,DD0000,David Daggett,NA,Federalist,6
ct.uscongress.1823,HU0000,Uriel Holmes,NA,Federalist,6
ct.uscongress.1823,LG0089,George Larned,NA,Federalist,6
ct.uscongress.1823,PS0234,Samuel Pitkin,NA,Federalist,6
ct.uscongress.1823,EW0092,William W. Ellsworth,NA,NA,5
ct.uscongress.1823,GJ0012,Jacob B. Gurley,NA,Federalist,5
ct.uscongress.1823,LE0109,Ebenezer Learned,NA,NA,5
ct.uscongress.1823,MO0000,Orange Merwin,NA,Democratic-Republican,5
ct.uscongress.1823,PJ0016,John S. Peters,NA,Democratic-Republican,5
ct.uscongress.1823,SN0016,Nathan Smith,NA,Federalist,5
ct.uscongress.1823,TN0001,Nathaniel Terry,NA,Federalist,5
ct.uscongress.1823,TD0009,David Tomlinson,NA,Democratic-Republican,5
ct.uscongress.1823,HJ1285,John W. Huntington,NA,NA,4
ct.uscongress.1823,WF0018,Frederick Wolcott,NA,Democratic-Republican,4
ct.uscongress.1823,AR0068,Rufus Adams,NA,Democratic-Republican,3
ct.uscongress.1823,BS0324,Sherman Boardman,NA,NA,3
ct.uscongress.1823,BE0023,Enoch Burrows,NA,Democratic-Republican,3
ct.uscongress.1823,BS0295,Samuel Burrows,NA,NA,3
ct.uscongress.1823,BC0193,Calvin Butler,NA,Federalist,3
ct.uscongress.1823,EH0027,Henry Edwards,NA,Democratic-Republican,3
ct.uscongress.1823,GE0082,Ebenezer Goddard,NA,NA,3
ct.uscongress.1823,LL0006,Luther Loomis,NA,Democratic-Republican,3
ct.uscongress.1823,PN0004,Noah A. Phelps,NA,Democratic-Republican,3
ct.uscongress.1823,PD0008,David Plant,NA,Democratic-Republican,3
ct.uscongress.1823,BS0001,Simeon Baldwin,NA,Federalist,2
ct.uscongress.1823,BW0017,William Bristol,NA,Democratic-Republican,2
ct.uscongress.1823,FE0086,Ebenezer Fornig,NA,NA,2
ct.uscongress.1823,HM0131,Minor Hotchkiss,NA,Democratic-Republican,2
ct.uscongress.1823,LJ0005,James Lanman,NA,Democratic-Republican,2
ct.uscongress.1823,MC0000,Christopher Manwarring,NA,Democratic-Republican,2
ct.uscongress.1823,RS0144,Samuel Rockwell,NA,Democratic-Republican,2
ct.uscongress.1823,SC0173,Cyrus Severn,NA,NA,2
ct.uscongress.1823,SG0200,Gideon Stoddard,NA,NA,2
ct.uscongress.1823,WL0076,Leonard E. Welles,NA,NA,2
ct.uscongress.1823,WM0074,Martin Wells,NA,Democratic-Republican,2
ct.uscongress.1823,AH0040,Henry Allen,NA,NA,1
ct.uscongress.1823,BJ1539,Jonathan Barrows,NA,NA,1
ct.uscongress.1823,BD0243,Dyer T. Brainard,NA,NA,1
ct.uscongress.1823,BJ1543,Jonathan Bran,NA,NA,1
ct.uscongress.1823,BE0263,Ebenezer Brockway,NA,Democratic-Republican,1
ct.uscongress.1823,BN0133,Norman B. Brown,NA,NA,1
ct.uscongress.1823,DS0003,Samuel W. Dana,NA,Federalist,1
ct.uscongress.1823,FE0083,Eli Fowler,NA,Federalist,1
ct.uscongress.1823,GC0074,Charles Griswold,NA,Federalist,1
ct.uscongress.1823,HA0258,Alanson Hamlin,NA,NA,1
ct.uscongress.1823,HD0001,David Hill,NA,Democratic-Republican,1
ct.uscongress.1823,HC0160,Charles P. Huntington,NA,NA,1
ct.uscongress.1823,HE0008,Ebenezer Huntington,NA,Federalist,1
ct.uscongress.1823,IJ0016,Jirah Isham,NA,Federalist,1
ct.uscongress.1823,JJ0315,John Johnson,NA,Democratic-Republican,1
ct.uscongress.1823,JN0022,Nathan Johnson,NA,Democratic-Republican,1
ct.uscongress.1823,JS0000,Samuel W. Johnson,NA,Federalist,1
ct.uscongress.1823,MJ0022,Jonathan O. Moseley,NA,Federalist,1
ct.uscongress.1823,MW0006,William Moseley,NA,Democratic-Republican,1
ct.uscongress.1823,PE0010,Enoch Perkins,NA,Federalist,1
ct.uscongress.1823,PT0160,Thomas S. Perkins,NA,Democratic-Republican,1
ct.uscongress.1823,PJ0758,John A. Peters,NA,NA,1
ct.uscongress.1823,PL0051,Lemuel Pierson,NA,NA,1
ct.uscongress.1823,SS0348,Solomon Saintoh,NA,Federalist,1
ct.uscongress.1823,SJ0013,John C. Smith,NA,Federalist,1
ct.uscongress.1823,SE0209,Ebenezer Sterling,NA,NA,1
ct.uscongress.1823,SJ0029,James Stevens,NA,Democratic-Republican,1
ct.uscongress.1823,SJ1515,James Stoddard,NA,NA,1
ct.uscongress.1823,TE0002,Eli Todd,NA,Democratic-Republican,1
ct.uscongress.1823,WS0252,Selden Warner,NA,Federalist,1
ct.uscongress.1823,WP0002,Peter Webb,NA,Democratic-Republican,1
ct.uscongress.1823,WJ1020,Jonathan A. Welch,NA,NA,1
