candidate_id,candidate_name
AJ0022,"Arndt, James"
AJ0023,"Allen, John"
AJ0024,"Allison, James"
AJ0025,"Anderson, John"
AJ0026,"Aimmins, John"
AJ0027,"Appling, John"
AJ0028,"Allen, John"
AJ0029,"Abbott, Joel"
AJ0030,"Adams, John"
AJ0031,"Ayers, Jacob"
AJ0032,"Ash, John H."
AJ0033,"Alexander, James"
AJ0034,"Alston, Joseph W."
AJ0035,"Ambler, John"
AJ0036,"Abercrombie, John"
AJ0037,"Abraham, J."
AJ0038,"Allen, James"
AJ0039,"Anderson, John"
AJ0040,"Allen, Jason"
AJ0041,"Allen, John"
AJ0042,"Allen, James"
AJ0043,"Adams, John Quincy"
AJ0044,"Allen, John"
AJ0045,"Adams, Joseph"
AJ0046,"Allen, John"
AJ0047,"Adair, John"
AJ0048,"Ayer, James, Jr."
AJ0049,"Allen, John"
AJ0050,"Adams, John"
AJ0051,"Annin, Joseph"
AJ0052,"Armstrong, John"
AJ0053,"Augustine, John"
AJ0054,"Alexander, John"
AJ0055,"Adams, John"
AJ0056,"Alben, James"
AJ0057,"Arnold, James"
AJ0058,"Austin, Joab"
AJ0059,"Avery, John C."
AJ0060,"Armstrong, James"
AJ0061,"Alexander, James"
AJ0062,"Allen, John"
AJ0063,"Arnold, John"
AJ0064,"Averill, James"
AJ0065,"Arnold, James"
AJ0066,"Adair, James"
AJ0067,"Allen, John"
AJ0068,"Ashley, John"
AJ0069,"Andrews, Joseph"
AJ0070,"Alexander, John R."
AJ0071,"Anderson, James"
AJ0072,"Allen, John J."
AJ0073,"Abel, Jesse"
AJ0074,"Allen, James"
AJ0075,"Archer, John"
AJ0076,"Adams, John"
AJ0077,"Attrearn, James"
AJ0078,"Ashmead, John"
AJ0079,"Able, John"
AJ0080,"Allen, James"
AJ0081,"Austin, James T."
AJ0082,"Atwater, John"
AJ0083,"Alexander, James"
AJ0084,"Ames, John H."
AJ0085,"Abell, John S."
AJ0086,"Allyn, John"
AJ0087,"Arms, Jonathan"
AJ0088,"Allender, Joseph"
AJ0089,"Annable, Joseph"
AJ0090,"Abbott, Joseph"
AJ0091,"Andrew, Joseph"
AJ0092,"Ayers, Joseph"
AJ0093,"Armstrong, James"
AJ0094,"Austin, Josiah"
AJ0095,"Anderson, James, Jr."
AJ0096,"Anderson, John W."
AJ0097,"Avery, John"
AJ0098,"Austin, James"
AJ0099,"Ashman, Justus"
AJ0100,"Ackerman, John"
AJ0101,"Adams, John Quincy"
AJ0102,"Austin, Jonathan L."
AJ0103,"Athrop, John T."
AJ0104,"Allen, Jonathan"
AJ0105,"Archer, John"
AJ0106,"Ashley, John"
AJ0107,"Ashmore, John"
AJ0108,"Adriance, John"
AJ0109,"Apthorp, John J."
AJ0110,"Ashton, Jacob"
AJ0111,"Anderson, John W."
AJ0112,"Anthony, John P."
AJ0113,"Allen, Joseph"
AJ0114,"Applegate, John"
AJ0115,"Atwell, J. D."
AJ0116,"Allen, Jonathan"
AJ0117,"Archer, Jonathan"
AJ0118,"Alexander, Joseph"
AJ0119,"Allen, Joseph"
AJ0120,"Adams, Joseph"
AJ0121,"Arnold, Joseph"
AJ0122,"Austin, James"
AJ0123,"Alexander, James"
AJ0124,"Alner, James"
AJ0125,"Auger, James"
AJ0126,"Ackerman, James"
AJ0127,"Archibald, James"
AJ0128,"Ayres, John"
AJ0129,"Alba, John"
AJ0130,"Armstrong, John, Jr."
AJ0131,"Ackley, John"
AJ0132,"Ayres, John"
AJ0133,"Adriance, John F."
AJ0134,"Allen, John"
AJ0135,"Arnold, John"
AJ0136,"Adams, John P."
AJ0137,"Austin, John"
AJ0138,"Andrew, John"
AJ0139,"Allen, John"
AJ0140,"Allen, John E."
AJ0141,"Annin, John"
AJ0142,"Alcorn, James"
AJ0143,"Applegate, John"
AJ0144,"Adams, John"
AJ0145,"Angus, John H."
AJ0146,"Archer, John"
AJ0147,"Adams, John"
AJ0148,"Adams, Josiah"
AJ0149,"Adair, John"
AJ0150,"Archer, John"
AJ0151,"Adams, Joseph"
AJ0152,"Armstrong, J."
AJ0153,"Armstrong, James F."
AJ0154,"Anderson, Joshua"
AJ0155,"Armstrong, John"
AJ0156,"Anderson, John"
AJ0157,"Ackerman, James"
AJ0158,"Anderson, James, Jr."
AJ0159,"Anderson, Joseph"
AJ0160,"Anderson, Jacob"
AJ0161,"Aims, Jacob"
AJ0162,"Anderson, John L."
AJ0163,"Annin, John"
AJ0164,"Arnold, Jacob, Jr."
AJ0165,"Averill, James"
AJ0166,"Atkins, James"
AJ0167,"Arnold, James"
AJ0168,"Anderson, James"
AJ0169,"Adkins, James"
AJ0170,"Adams, James"
AJ0171,"Adams, James P."
AJ0172,"Aryes, Jacob"
AJ0173,"Alpin, James"
AJ0174,"Annin, Joseph"
AJ0175,"Adams, John K."
AJ0176,"Anderson, John"
AJ0177,"Arthur, John"
AJ0178,"Allen, John, Jr."
AJ0179,"Adams, John B."
AJ0180,"Andrews, James W."
AJ0181,"Akins, Jonathan"
AJ0182,"Adams, John"
AJ0183,"Auckmody, John J."
AJ0184,"Addison, John"
AJ0185,"Adams, John Quincy"
AJ0186,"Arnold, John"
AJ0187,"Austin, Jonathan"
AJ0188,"Andrews, Joseph R."
AJ0189,"Adams, Joseph"
AJ0190,"Anderson, John"
AJ0191,"Aurdant, John D."
AJ0192,"Aukel, Jeremiah"
AJ0193,"Armstrong, John"
AJ0194,"Andreas, Jacob"
AJ0195,"Andrews, Jacob"
AJ0196,"Antes, Jacob"
AJ0197,"Annin, Joseph"
AJ0198,"Adams, James"
AJ0199,"Aeavis, James"
AJ0200,"Ashbrook, James"
AJ0201,"Adams, John"
AJ0202,"Aiken, John"
AJ0203,"Albert, John"
AJ0204,"Albrecht, John"
AJ0205,"Allen, James"
AJ0206,"Adams, John"
AJ0207,"Avery, John H."
AJ0208,"Anthon, John"
AJ0209,"Adams, James"
AJ0210,"Andrews, John"
AJ0211,"Anderson, Jeremiah"
AJ0212,"Ashe, John B."
AJ0213,"Aughe, John"
AJ0214,"Allen, Joseph"
AJ0215,"Alexander, Joab"
AJ0216,"Allen, James"
AJ0217,"Arrington, John"
AJ0218,"Aulebaugh, John"
AJ0219,"Anderson, John"
AJ0220,"Anthony, James"
AJ0221,"Actrine, John"
AJ0222,"Alston, John"
AJ0223,"Andrews, John"
AJ0224,"Abernathy, John"
AJ0225,"Adams, Jesse"
AJ0226,"Arrington, J., Jr."
AJ0227,"Adams, John"
AJ0228,"Allen, John"
AJ0229,"Anderson, John M."
AJ0230,"Aderhold, Jacob"
AJ0231,"Aiken, John"
AJ0232,"Andrus, John H."
AJ0233,"Armstrong, John"
AJ0234,"Axford, John"
AJ0235,"Alexander, James"
AJ0236,"Armstrong, James"
AJ0237,"Ayers, John"
AJ0238,"Adams, John"
AJ0239,"Alexander, John"
AJ0240,"Alling, John"
AJ0242,"Armstrong, James"
AJ0247,"Adams, John"
AJ0248,"Anderson, Jacob"
AJ0249,"Arndt, John"
AJ0250,"Ash, James"
AJ0252,"Allison, John"
AJ0253,"Alter, Jacob, Jr."
AJ0259,"Anderson, Joshua"
AJ0261,"Arndt, John"
AJ0263,"Arnold, Jonathan"
AJ0266,"Allen, James"
AJ0268,"Alexander, James"
AJ0270,"Ash, John"
AJ0272,"Anerwalt, John"
AJ0275,"Agnew, John"
AJ0276,"Ashmead, James"
AJ0277,"Atwater, Joshua"
AJ0280,"Ashmead, John"
AJ0281,"Allen, John"
AJ0282,"Andrews, Joseph"
AJ0283,"Armor, John"
AJ0284,"Anderson, James"
AJ0285,"Algeo, John"
AJ0287,"Adams, John"
AJ0288,"Ashman, John"
AJ0289,"Alexander, John"
AJ0292,"Arrison, Jeptha"
AJ0293,"Allen, Jesse"
AJ0294,"Allison, John"
AJ0295,"Arndt, John P."
AJ0296,"Adams, John"
AJ0297,"Anderson, John"
AJ0298,"Ash, John"
AJ0301,"Auginbaugh, John"
AJ0302,"Alexander, John"
AJ0305,"Albert, John"
AJ0306,"Adolph, Joseph"
AJ0308,"Ankrim, James"
AJ0309,"Adolph, John"
AJ0310,"Anderson, John"
AJ0312,"Alexander, James"
AJ0313,"Albright, Jacob"
AJ0314,"Allen, Joshua"
AJ0315,"Athinson, Joseph"
AJ0316,"Ankney, Jacob"
AJ0317,"Anderson, James"
AJ0318,"Armstrong, Jacob"
AJ0319,"Anderson, J."
AJ0320,"Aitken, J. W."
AJ0321,"Adair, John S."
AJ0322,"Avery, Jonas B."
AJ0324,"Adams, Jesse"
AJ0325,"Akin, James"
AJ0326,"Angue, John, Jr."
AJ0328,"Andrews, James"
AJ0331,"Appel, John"
AJ0332,"Allison, James"
AJ0333,"Ashmead, John"
AJ0334,"Alexander, John B."
AJ0337,"Algair, Joseph"
AJ0341,"Allen, John"
AJ0342,"Aldrich, James"
AJ0346,"Anderson, Jar."
AJ0347,"Allison, John"
AJ0348,"Alston, Joseph"
AJ0350,"Allston, John"
AJ0351,"Appleby, James P."
AJ0352,"Ambler, Jacob"
AJ0353,"Alston, Joseph"
AJ0354,"Allston, Josiah William"
AJ0355,"Allison, Jacob"
AJ0360,"Alston, Joseph"
AJ0361,"Ancrum, James Hasell"
AJ0363,"Allen, John C."
AJ0364,"Axson, Jacob"
AJ0365,"Anderson, James"
AJ0366,"Allison, James H."
AJ0367,"Allen, Joseph"
AJ0368,"Ashe, J."
AJ0370,"Anderson, Joseph"
AJ0377,"Anderson, James"
AJ0378,"Amis, James"
AJ0380,"Arnold, Jonathan"
AJ0382,"Adams, John"
AJ0383,"Allen, James"
AJ0386,"Allen, John"
AJ0387,"Anderson, John"
AJ0388,"Atkinson, Josiah"
AJ0390,"Anderson, James"
AJ0391,"Ashton, John W."
AJ0392,"Armstrong, John"
AJ0393,"Aderson, Joseph"
AJ0394,"Armistead, John"
AJ0395,"Adams, Joseph P."
AJ0396,"Alderson, Joseph"
AJ0397,"Armstrong, John"
AJ0398,"Aspill, Joseph"
AJ0399,"Armer, James"
AJ0400,"Adcock, James"
AJ0944,"Atkinson, Joseph"
AJ5542,"Adger, James"
AK0000,"Anderson, Kenneth"
AK0002,"Anthon, Kae"
AL0000,"Adams, Levi"
AL0001,"Allard, Louis"
AL0002,"Axton, Levi C."
AL0003,"Ackerman, Lawrence A."
AL0004,"Adams, Levi"
AL0005,"Albritten, Luke"
AL0006,"Adams, Littleton"
AL0007,"Aikman, Levi"
AL0008,"Ayers, Lewis M."
AL0009,"Alston, Lemuel J."
AL0010,"Armstrong, Leonard"
AL0011,"Austin, Larm"
AL0012,"Angevine, Lewis"
AL0013,"Adgate, Luther"
AL0014,"Ally, Laban"
AL0015,"Adams, Lyman"
AL0016,"Austin, Lewis"
AM0000,"Alden, Mason Fitz"
AM0001,"Andry, M."
AM0002,"Armstrong, Maxwell"
AM0003,"Andrews, Moses"
AM0004,"Andrews, Martin"
AM0005,"Adams, Matthew"
AM0006,"Aikin, Martin A."
AM0007,"Adgate, Matthew"
AM0008,"Aspinster, Matthew"
AM0009,"Andrews, Moses"
AM0010,"Adams, Milo"
AM0011,"Austin, Moses"
AM0014,"Ayers, Matson"
AM0015,"Ayers, Michael"
AM0016,"App, Michael"
AM0017,"Allison, Matthew"
AM0018,"Ash, Michael"
AM0019,"Atwater, Moses"
AM0022,"Anderson, Matthew"
AM0023,"Alexander, Mark"
AN0000,"Aldrich, Nathan"
AN0001,"Austin, Nathaniel"
AN0002,"Arrowsmith, Nicholas"
AN0003,"Aspenwall, Nathaniel"
AN0004,"Allen, Nathaniel"
AN0005,"Adams, Nathan"
AN0006,"Alexander, Nathaniel"
AN0007,"Allen, Nirum"
AN0007,"Alexander, Nathaniel"
AN0008,"Ames, Nathaniel"
AN0009,"Abbot, Nehemiah"
AN0010,"Adams, Nehemiah"
AN0011,"Allen, Nehemiah"
AN0012,"Avery, Nathan"
AN0013,"Anderson, Nathan"
AN0014,"Arnold, Nicholas"
AN0015,"Allen, Nathaniel"
AN0016,"Armbruster, Nicholas"
AN0018,"Anderson, Nelson"
AN0019,"Angle, Nicholas W."
AN0020,"Allen, Newman"
AN0021,"Anderson, Nathaniel"
AN0022,"Allen, Ner"
AO0000,"Alison, Oliver"
AO0001,"Arnold, Othniel"
AP0000,"Adams, Philo"
AP0001,"Abney, Paul C."
AP0002,"Allen, Peter"
AP0003,"Allen, Phineas"
AP0004,"Alder, Phineas C."
AP0005,"Adams, Peter B."
AP0006,"Amidon, Phillip"
AP0007,"Alling, Prudden"
AP0008,"Adams, Pliney"
AP0009,"Allen, Peter"
AP0010,"Arkless, Peter"
AP0011,"Aiken, Peter"
AP0012,"Adams, Peter C."
AP0013,"Andrews, Philo"
AP0014,"Addams, Peter"
AP0015,"Adams, Platt"
AP0016,"Ahl, Peter"
AP0017,"Addams, Peter"
AP0018,"Adams, Parmenio"
AP0020,"Apple, Peter"
AP0021,"Albright, Philip"
AP0022,"Apple, Paul"
AP0025,"Aurandt, P."
AP0026,"Ash, Phineas"
AP0027,"Andrews, Philip"
AP0028,"Arnold, Peleg"
AP0029,"Albertson, Peter"
AP0032,"Arthur, Peter S."
AP0033,"Arcularius, Philip J."
AP0035,"Aylett, Philip, Jr."
AQ0000,"Anderson, Quinton"
AQ0002,"Atkins, Quintus F."
AR0000,"Armstrong, Robert"
AR0001,"Alexander, Robert"
AR0002,"Allen, Richard"
AR0003,"Anderson, Richard C., Jr."
AR0004,"Atmore, Ralph"
AR0005,"Alexander, Reuben"
AR0006,"Andrews, Robert"
AR0007,"Arnold, Rezin"
AR0008,"Ayres, Richard"
AR0009,"Armstrong, Richard"
AR0010,"Allen, Robert"
AR0011,"Amos, Robert, Jr."
AR0012,"Anderson, Reuben"
AR0013,"Aldrich, Robert"
AR0014,"Amory, Rufus G."
AR0015,"Anderson, Robert"
AR0016,"Archer, Robert H."
AR0017,"Anderson, Robert"
AR0018,"Austin, Rufus"
AR0019,"About, Reuben Turn"
AR0020,"Abeel, Reuben"
AR0021,"Alcock, Robert"
AR0022,"Ayer, Richard H."
AR0023,"Arden, Richard D."
AR0024,"Arnold, Robert"
AR0025,"Atwater, Russell"
AR0026,"Armstrong, Robert"
AR0027,"Angney, Reinneck"
AR0028,"Atkinson, Richard"
AR0029,"Amos, Robert"
AR0030,"Adams, Richard"
AR0031,"Arrington, R."
AR0032,"Andrews, Richardson"
AR0033,"Abrams, Reuben"
AR0034,"Ayres, Richard"
AR0035,"Anderson, Robert"
AR0036,"Armstrong, Robert"
AR0037,"Armstrong, Robert L."
AR0041,"Avery, Richard"
AR0042,"Anderson, Robert"
AR0043,"Alden, Roger"
AR0044,"Andrews, Robert"
AR0049,"Auchnuty, Robert"
AR0050,"Alexander, Robert"
AR0051,"Allison, Robert"
AR0052,"Anderson, Robert"
AR0053,"Airs, Robert"
AR0054,"Anderson, Robert"
AR0055,"Anderson, Robert"
AR0057,"Alderman, Richard"
AR0058,"Arthur, Reuben"
AR0059,"Armstrong, Robert"
